STATE/UT,CRIME HEAD,Year,Male Below 18 Years,Female Below 18 Years,Male Between 18-30 Years,Female Between 18-30 Years,Male Between 30-45 Years,Female Between 30-45 Years,Male Between 45-60 Years,Female Between 45-60 Years,Male Above 60 Years,Female Above 60 Years,Male Total,Female Total,Grand Total
ODISHA,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,10,0,14,0,0,0,0,0,24,0,24
PUNJAB,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,23,1,60,6,2,0,0,0,85,7,92
RAJASTHAN,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,1,0,25,0,35,2,1,0,0,0,62,2,64
SIKKIM,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,2,0,0,0,0,0,0,0,2,0,2
TAMIL NADU,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,33,0,48,1,14,0,2,0,97,1,98
TRIPURA,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,7,0,7,0,0,0,0,0,14,0,14
UTTAR PRADESH,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,119,0,79,0,1,0,0,0,199,0,199
UTTARAKHAND,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,1,0,8,1,14,1,1,0,0,0,24,2,26
WEST BENGAL,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,8,1,253,0,184,2,86,0,0,0,531,3,534
TOTAL (STATES),COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,35,2,1223,19,1062,44,331,5,8,1,2659,71,2730
A & N ISLANDS,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANDIGARH,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,0,0,2,0,0,0,0,0,2,0,2
D & N HAVELI,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,38,3,32,0,3,0,0,0,73,3,76
LAKSHADWEEP,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,2,0,2,0,1,0,1,0,6,0,6
TOTAL (UTs),COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,0,0,40,3,36,0,4,0,1,0,81,3,84
TOTAL (ALL-INDIA),COUNTERFEITING (SECTION 231-254 AND 489A TO 489D IPC),2012,35,2,1263,22,1098,44,335,5,9,1,2740,74,2814
ANDHRA PRADESH,ARSON (SECTION 435,2012,436, 438 IPC),15,4,410,16,393,20,162,7,15,0,995,47,1042,,,,,,,,,,,
ARUNACHAL PRADESH,ARSON (SECTION 435,2012,436, 438 IPC),0,0,15,0,8,0,0,0,0,0,23,0,23,,,,,,,,,,,
ASSAM,ARSON (SECTION 435,2012,436, 438 IPC),11,0,354,0,399,2,59,0,0,0,823,2,825,,,,,,,,,,,
BIHAR,ARSON (SECTION 435,2012,436, 438 IPC),1,0,788,20,613,24,265,12,13,0,1680,56,1736,,,,,,,,,,,
CHHATTISGARH,ARSON (SECTION 435,2012,436, 438 IPC),10,0,135,2,78,4,26,3,6,0,255,9,264,,,,,,,,,,,
GOA,ARSON (SECTION 435,2012,436, 438 IPC),0,0,14,0,21,0,1,0,2,0,38,0,38,,,,,,,,,,,
GUJARAT,ARSON (SECTION 435,2012,436, 438 IPC),2,0,218,8,187,7,55,1,6,0,468,16,484,,,,,,,,,,,
HARYANA,ARSON (SECTION 435,2012,436, 438 IPC),1,0,92,0,127,0,28,0,3,0,251,0,251,,,,,,,,,,,
HIMACHAL PRADESH,ARSON (SECTION 435,2012,436, 438 IPC),0,0,20,0,48,4,14,2,3,0,85,6,91,,,,,,,,,,,
JAMMU & KASHMIR,ARSON (SECTION 435,2012,436, 438 IPC),3,0,80,2,153,3,33,1,3,0,272,6,278,,,,,,,,,,,
JHARKHAND,ARSON (SECTION 435,2012,436, 438 IPC),1,0,80,2,50,0,18,0,0,0,149,2,151,,,,,,,,,,,
KARNATAKA,ARSON (SECTION 435,2012,436, 438 IPC),0,0,73,3,77,2,73,0,7,1,230,6,236,,,,,,,,,,,
KERALA,ARSON (SECTION 435,2012,436, 438 IPC),0,0,174,0,230,2,59,0,1,0,464,2,466,,,,,,,,,,,
MADHYA PRADESH,ARSON (SECTION 435,2012,436, 438 IPC),5,0,568,6,448,13,151,3,11,0,1183,22,1205,,,,,,,,,,,
MAHARASHTRA,ARSON (SECTION 435,2012,436, 438 IPC),19,0,672,27,567,40,245,10,39,6,1542,83,1625,,,,,,,,,,,
MANIPUR,ARSON (SECTION 435,2012,436, 438 IPC),0,0,5,0,3,0,1,0,0,0,9,0,9,,,,,,,,,,,
MEGHALAYA,ARSON (SECTION 435,2012,436, 438 IPC),2,0,29,0,9,0,2,0,0,0,42,0,42,,,,,,,,,,,
MIZORAM,ARSON (SECTION 435,2012,436, 438 IPC),0,0,4,0,4,0,2,0,1,0,11,0,11,,,,,,,,,,,
NAGALAND,ARSON (SECTION 435,2012,436, 438 IPC),0,0,3,0,0,0,0,0,0,0,3,0,3,,,,,,,,,,,
ODISHA,ARSON (SECTION 435,2012,436, 438 IPC),2,1,251,9,309,10,88,1,8,1,658,22,680,,,,,,,,,,,
PUNJAB,ARSON (SECTION 435,2012,436, 438 IPC),0,0,32,2,54,1,11,1,0,0,97,4,101,,,,,,,,,,,
RAJASTHAN,ARSON (SECTION 435,2012,436, 438 IPC),8,0,226,13,251,6,85,7,7,0,577,26,603,,,,,,,,,,,
SIKKIM,ARSON (SECTION 435,2012,436, 438 IPC),0,0,0,0,5,0,0,0,0,0,5,0,5,,,,,,,,,,,
TAMIL NADU,ARSON (SECTION 435,2012,436, 438 IPC),1,0,319,9,307,7,123,0,19,0,769,16,785,,,,,,,,,,,
TRIPURA,ARSON (SECTION 435,2012,436, 438 IPC),0,0,22,0,18,0,6,0,0,0,46,0,46,,,,,,,,,,,
UTTAR PRADESH,ARSON (SECTION 435,2012,436, 438 IPC),2,0,477,8,312,1,55,0,1,0,847,9,856,,,,,,,,,,,
UTTARAKHAND,ARSON (SECTION 435,2012,436, 438 IPC),2,0,3,0,7,0,0,0,0,0,12,0,12,,,,,,,,,,,
WEST BENGAL,ARSON (SECTION 435,2012,436, 438 IPC),0,3,233,10,256,3,88,3,1,0,578,19,597,,,,,,,,,,,
TOTAL (STATES),ARSON (SECTION 435,2012,436, 438 IPC),85,8,5297,137,4934,149,1650,51,146,8,12112,353,12465,,,,,,,,,,,
A & N ISLANDS,ARSON (SECTION 435,2012,436, 438 IPC),0,0,4,0,2,0,0,0,0,0,6,0,6,,,,,,,,,,,
CHANDIGARH,ARSON (SECTION 435,2012,436, 438 IPC),0,0,3,0,2,0,0,0,0,0,5,0,5,,,,,,,,,,,
D & N HAVELI,ARSON (SECTION 435,2012,436, 438 IPC),0,0,2,0,0,0,0,0,0,0,2,0,2,,,,,,,,,,,
DAMAN & DIU,ARSON (SECTION 435,2012,436, 438 IPC),0,0,6,1,0,0,0,0,0,0,6,1,7,,,,,,,,,,,
DELHI,ARSON (SECTION 435,2012,436, 438 IPC),2,0,35,0,10,0,0,0,0,0,47,0,47,,,,,,,,,,,
LAKSHADWEEP,ARSON (SECTION 435,2012,436, 438 IPC),0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
PUDUCHERRY,ARSON (SECTION 435,2012,436, 438 IPC),1,0,22,0,17,0,0,0,0,0,40,0,40,,,,,,,,,,,
TOTAL (UTs),ARSON (SECTION 435,2012,436, 438 IPC),3,0,72,1,31,0,0,0,0,0,106,1,107,,,,,,,,,,,
TOTAL (ALL-INDIA),ARSON (SECTION 435,2012,436, 438 IPC),88,8,5369,138,4965,149,1650,51,146,8,12218,354,12572,,,,,,,,,,,
ANDHRA PRADESH,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),396,11,30510,2647,26496,2771,9417,1089,1436,111,68255,6629,74884,,,,,,,,,,,
ARUNACHAL PRADESH,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),27,0,347,24,79,16,3,0,0,0,456,40,496,,,,,,,,,,,
ASSAM,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),71,12,2672,74,3611,66,1127,11,151,0,7632,163,7795,,,,,,,,,,,
BIHAR,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),671,119,33482,3141,28083,2464,11553,1029,1437,118,75226,6871,82097,,,,,,,,,,,
CHHATTISGARH,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),523,32,8887,524,6037,527,2674,211,508,24,18629,1318,19947,,,,,,,,,,,
GOA,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),1,0,142,3,147,14,54,9,10,1,354,27,381,,,,,,,,,,,
GUJARAT,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),335,18,10017,673,7592,696,3173,301,360,41,21477,1729,23206,,,,,,,,,,,
HARYANA,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),158,4,2950,119,2595,249,1104,84,239,11,7046,467,7513,,,,,,,,,,,
HIMACHAL PRADESH,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),28,1,597,39,549,91,182,37,35,7,1391,175,1566,,,,,,,,,,,
JAMMU & KASHMIR,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),2,0,230,28,259,50,78,15,12,4,581,97,678,,,,,,,,,,,
JHARKHAND,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),26,4,4044,355,2641,251,1246,98,106,12,8063,720,8783,,,,,,,,,,,
KARNATAKA,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),40,4,10687,1069,10495,1469,7444,888,1260,113,29926,3543,33469,,,,,,,,,,,
KERALA,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),160,2,11361,330,10746,564,5440,216,787,28,28494,1140,29634,,,,,,,,,,,
MADHYA PRADESH,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),809,50,31961,1751,23574,1596,10315,568,1672,73,68331,4038,72369,,,,,,,,,,,
MAHARASHTRA,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),1314,66,26253,1590,16759,2120,7565,1061,1273,179,53164,5016,58180,,,,,,,,,,,
MANIPUR,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),0,0,41,7,55,8,23,4,3,1,122,20,142,,,,,,,,,,,
MEGHALAYA,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),0,0,64,1,49,2,11,0,0,0,124,3,127,,,,,,,,,,,
MIZORAM,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),5,0,62,3,39,6,8,0,0,0,114,9,123,,,,,,,,,,,
NAGALAND,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),0,0,12,0,7,0,1,0,1,0,21,0,21,,,,,,,,,,,
ODISHA,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),88,5,4522,253,4231,309,1804,122,237,17,10882,706,11588,,,,,,,,,,,
PUNJAB,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),26,3,3105,254,3202,310,1408,115,35,2,7776,684,8460,,,,,,,,,,,
RAJASTHAN,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),313,22,13336,1094,9982,1043,4162,416,416,77,28209,2652,30861,,,,,,,,,,,
SIKKIM,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),36,0,35,4,30,0,20,0,0,0,121,4,125,,,,,,,,,,,
TAMIL NADU,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),228,1,13772,1028,12591,1284,5723,511,882,39,33196,2863,36059,,,,,,,,,,,
TRIPURA,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),66,2,775,86,718,62,319,8,18,1,1896,159,2055,,,,,,,,,,,
UTTAR PRADESH,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),19,0,18103,313,10388,360,5213,163,316,0,34039,836,34875,,,,,,,,,,,
UTTARAKHAND,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),23,2,502,13,622,30,179,9,19,2,1345,56,1401,,,,,,,,,,,
WEST BENGAL,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),64,13,6620,666,7898,1120,3647,267,456,51,18685,2117,20802,,,,,,,,,,,
TOTAL (STATES),HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),5429,371,235089,16089,189475,17478,83893,7232,11669,912,525555,42082,567637,,,,,,,,,,,
A & N ISLANDS,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),0,0,42,2,30,1,6,1,3,0,81,4,85,,,,,,,,,,,
CHANDIGARH,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),2,0,42,1,18,1,2,0,0,0,64,2,66,,,,,,,,,,,
D & N HAVELI,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),0,0,27,2,19,2,6,0,0,1,52,5,57,,,,,,,,,,,
DAMAN & DIU,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),0,0,21,0,5,0,1,0,1,0,28,0,28,,,,,,,,,,,
DELHI,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),110,3,1617,86,935,79,224,21,15,2,2901,191,3092,,,,,,,,,,,
LAKSHADWEEP,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),0,0,2,0,2,0,1,0,0,0,5,0,5,,,,,,,,,,,
PUDUCHERRY,HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),18,1,886,52,496,49,94,17,14,2,1508,121,1629,,,,,,,,,,,
TOTAL (UTs),HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),130,4,2637,143,1505,132,334,39,33,5,4639,323,4962,,,,,,,,,,,
TOTAL (ALL-INDIA),HURT (SECTION 323,2012, 324 TO 333, 335 TO 338 IPC),5559,375,237726,16232,190980,17610,84227,7271,11702,917,530194,42405,572599,,,,,,,,,,,
ANDHRA PRADESH,DOWRY DEATHS (SECTION 304B IPC),2012,1,2,439,93,313,108,178,99,23,11,954,313,1267
ARUNACHAL PRADESH,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,2,0,0,0,0,0,2,0,2
ASSAM,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,40,5,108,8,49,3,2,0,199,16,215
BIHAR,DOWRY DEATHS (SECTION 304B IPC),2012,3,13,1462,209,1125,243,525,301,82,31,3197,797,3994
CHHATTISGARH,DOWRY DEATHS (SECTION 304B IPC),2012,0,1,107,9,41,16,17,17,2,1,167,44,211
GOA,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,16,3,12,1,3,3,0,0,31,7,38
HARYANA,DOWRY DEATHS (SECTION 304B IPC),2012,1,1,157,15,130,40,71,50,12,4,371,110,481
HIMACHAL PRADESH,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,1,0,0,1,0,1,1,0,2,2,4
JAMMU & KASHMIR,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,8,2,7,3,1,2,0,0,16,7,23
JHARKHAND,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,228,24,124,34,16,6,6,6,374,70,444
KARNATAKA,DOWRY DEATHS (SECTION 304B IPC),2012,1,0,151,22,140,55,85,63,14,8,391,148,539
KERALA,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,9,0,20,1,3,4,0,1,32,6,38
MADHYA PRADESH,DOWRY DEATHS (SECTION 304B IPC),2012,22,3,709,172,530,239,229,153,61,24,1551,591,2142
MAHARASHTRA,DOWRY DEATHS (SECTION 304B IPC),2012,1,5,332,112,297,127,142,77,31,17,803,338,1141
MANIPUR,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,2,1,0,1,0,0,2,2,4
MIZORAM,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,268,64,304,94,107,46,13,7,692,211,903
PUNJAB,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,81,23,74,34,44,17,0,1,199,75,274
RAJASTHAN,DOWRY DEATHS (SECTION 304B IPC),2012,1,1,291,15,170,33,56,48,9,7,527,104,631
SIKKIM,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,2,0,3,2,1,1,0,0,6,3,9
TAMIL NADU,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,86,13,81,28,39,25,4,2,210,68,278
TRIPURA,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,25,4,44,9,1,2,2,0,72,15,87
UTTAR PRADESH,DOWRY DEATHS (SECTION 304B IPC),2012,9,3,4148,626,2434,568,1447,391,253,5,8291,1593,9884
UTTARAKHAND,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,45,2,65,10,13,11,1,0,124,23,147
WEST BENGAL,DOWRY DEATHS (SECTION 304B IPC),2012,1,1,308,51,441,272,170,76,19,6,939,406,1345
TOTAL (STATES),DOWRY DEATHS (SECTION 304B IPC),2012,40,30,8913,1464,6467,1927,3197,1397,535,131,19152,4949,24101
A & N ISLANDS,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,1,1,0,0,0,1,0,0,1,2,3
CHANDIGARH,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,4,0,4,2,2,2,0,0,10,4,14
D & N HAVELI,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DAMAN & DIU,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,DOWRY DEATHS (SECTION 304B IPC),2012,3,0,110,16,81,35,22,22,8,3,224,76,300
LAKSHADWEEP,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,DOWRY DEATHS (SECTION 304B IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (UTs),DOWRY DEATHS (SECTION 304B IPC),2012,3,0,115,17,85,37,24,25,8,3,235,82,317
TOTAL (ALL-INDIA),DOWRY DEATHS (SECTION 304B IPC),2012,43,30,9028,1481,6552,1964,3221,1422,543,134,19387,5031,24418
ANDHRA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,42,1,2570,84,1569,79,403,35,51,0,4635,199,4834
ARUNACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,5,0,67,0,5,0,0,0,0,0,77,0,77
ASSAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,24,0,1081,0,1048,0,92,0,5,0,2250,0,2250
BIHAR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,15,0,198,0,59,0,6,0,0,0,278,0,278
CHHATTISGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,60,0,1156,4,530,10,113,2,16,0,1875,16,1891
GOA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,1,1,10,1,14,0,11,2,2,0,38,4,42
GUJARAT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,27,0,650,14,314,20,85,2,5,1,1081,37,1118
HARYANA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,14,0,446,2,191,3,38,1,3,0,692,6,698
HIMACHAL PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,5,0,146,6,106,8,34,1,8,3,299,18,317
JAMMU & KASHMIR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,2,1,891,131,1111,130,411,25,102,10,2517,297,2814
JHARKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,2,0,261,4,80,2,6,0,0,0,349,6,355
KARNATAKA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,2,0,1341,118,1453,195,667,97,88,21,3551,431,3982
KERALA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,6,0,1689,6,1719,30,616,13,87,1,4117,50,4167
MADHYA PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,223,0,5039,46,2174,21,547,2,33,0,8016,69,8085
MAHARASHTRA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,115,0,2514,58,1542,82,462,23,86,3,4719,166,4885
MANIPUR,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,12,0,13,1,8,0,0,0,33,1,34
MEGHALAYA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,2,0,33,0,9,0,1,0,0,0,45,0,45
MIZORAM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,1,0,31,0,31,0,19,0,0,0,82,0,82
NAGALAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,9,0,4,0,3,0,0,0,16,0,16
ODISHA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,18,0,2963,180,2035,156,652,35,19,2,5687,373,6060
PUNJAB,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,196,10,153,7,44,2,0,1,393,20,413
RAJASTHAN,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,48,0,1554,26,758,38,210,9,13,2,2583,75,2658
SIKKIM,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,6,0,5,0,6,0,0,0,17,0,17
TAMIL NADU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,11,0,1004,20,703,47,262,22,21,1,2001,90,2091
TRIPURA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,1,0,200,2,140,1,31,0,0,0,372,3,375
UTTAR PRADESH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,13,0,3737,3,1295,9,86,0,0,0,5131,12,5143
UTTARAKHAND,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,141,0,52,0,6,0,0,0,199,0,199
WEST BENGAL,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,29,0,1693,0,854,0,271,0,32,0,2879,0,2879
TOTAL (STATES),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,666,3,29638,715,17967,839,5090,271,571,45,53932,1873,55805
A & N ISLANDS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,9,0,8,0,2,0,1,0,20,0,20
CHANDIGARH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,32,0,18,0,4,0,0,0,54,0,54
D & N HAVELI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,2,0,0,0,0,0,0,0,2,0,2
DAMAN & DIU,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
DELHI,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,16,0,548,9,300,10,48,3,4,1,916,23,939
LAKSHADWEEP,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,0,0,3,0,3,0,1,0,0,0,7,0,7
TOTAL (UTs),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,16,0,594,9,329,10,55,3,5,1,999,23,1022
TOTAL (ALL-INDIA),ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY(SECTION 354 IPC),2012,682,3,30232,724,18296,849,5145,274,576,46,54931,1896,56827
ANDHRA PRADESH,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,95,0,2751,41,1194,27,215,11,12,2,4267,81,4348
ARUNACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,0,0,5,0,7,0,0,0,0,0,12,0,12
BIHAR,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,2,0,37,0,0,0,0,0,0,0,39,0,39
CHHATTISGARH,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,6,0,128,0,45,0,14,0,0,0,193,0,193
GOA,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,0,0,4,2,7,1,2,0,1,0,14,3,17
GUJARAT,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,0,0,80,0,29,0,7,0,1,0,117,0,117
HARYANA,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,6,0,429,3,100,3,16,0,1,0,552,6,558
HIMACHAL PRADESH,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,0,0,36,0,37,5,7,1,3,2,83,8,91
JAMMU & KASHMIR,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,0,0,261,2,167,4,13,0,0,0,441,6,447
JHARKHAND,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,0,0,45,0,6,0,0,0,0,0,51,0,51
KARNATAKA,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,0,0,111,0,33,0,3,0,0,0,147,0,147
KERALA,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,4,0,276,0,189,1,60,2,6,0,535,3,538
MADHYA PRADESH,INSULT TO THE MODESTY OF WOMEN(SECTION 509 IPC),2012,52,0,734,2,230,3,33,0,2,0,1051,5,1056
